unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
MOV;fevereiro;;I;0 a 5;9,30%;3;0;0,28
MOV;fevereiro;;II;6 a 10;55,90%;1;0;0,56
MOV;fevereiro;;III;11 a 5 ;73,10%;1;0;0,73
MOV;fevereiro;;IV;> 15;100,00%;1;1;1
MOV;março;;I;0 a 5;9,30%;0;0;0
MOV;março;;II;6 a 10;55,90%;1;0;0,56
MOV;março;;III;11 a 5 ;73,10%;1;0;0,73
MOV;março;;IV;> 15;100,00%;0;0;0
MOV;abril;;I;0 a 5;9,30%;0;0;0
MOV;abril;;II;6 a 10;55,90%;2;0;1,12
MOV;abril;;III;11 a 5 ;73,10%;2;0;1,46
MOV;abril;;IV;> 15;100,00%;0;0;0
MOV;maio;;I;0 a 5;9,30%;0;0;0
MOV;maio;;II;6 a 10;55,90%;2;0;1,12
MOV;maio;;III;11 a 5 ;73,10%;1;1;0,73
MOV;maio;;IV;> 15;100,00%;0;0;0
MOV;junho;;I;0 a 5;9,30%;1;0;0,09
MOV;junho;;II;6 a 10;55,90%;0;0;0
MOV;junho;;III;11 a 5 ;73,10%;0;0;0
MOV;junho;;IV;> 15;100,00%;0;0;0
MOV;julho;;I;0 a 5;9,30%;0;0;0
MOV;julho;;II;6 a 10;55,90%;2;1;1,12
MOV;julho;;III;11 a 5 ;73,10%;3;3;2,19
MOV;julho;;IV;> 15;100,00%;3;3;3
MOV;agosto;;I;0 a 5;9,30%;0;0;0
MOV;agosto;;II;6 a 10;55,90%;4;1;2,24
MOV;agosto;;III;11 a 5 ;73,10%;1;1;0,73
MOV;agosto;;IV;> 15;100,00%;0;0;0
MOV;setembro;;I;0 a 5;9,30%;2;0;0,19
MOV;setembro;;II;6 a 10;55,90%;1;0;0,56
MOV;setembro;;III;11 a 5 ;73,10%;2;1;1,46
MOV;setembro;;IV;> 15;100,00%;0;0;0
MOV;outubro;;I;0 a 5;9,30%;3;0;0,28
MOV;outubro;;II;6 a 10;55,90%;2;0;1,12
MOV;outubro;;III;11 a 5 ;73,10%;1;1;0,73
MOV;outubro;;IV;> 15;100,00%;0;0;0
MOV;novembro;;I;0 a 5;9,30%;1;0;0,09
MOV;novembro;;II;6 a 10;55,90%;1;0;0,56
MOV;novembro;;III;11 a 5 ;73,10%;4;3;2,92
MOV;novembro;;IV;> 15;100,00%;2;2;2
MOV;dezembro;;I;0 a 5;9,30%;1;0;0,09
MOV;dezembro;;II;6 a 10;55,90%;0;0;0
MOV;dezembro;;III;11 a 5 ;73,10%;0;0;0
MOV;dezembro;;IV;> 15;100,00%;0;0;0
HRJP;janeiro;2021;I;0 a 5;9,30%;1;0;0,09
HRJP;janeiro;2021;II;6 a 10;55,90%;1;0;0,56
